d873371,Jayden Putland,5 minutes ago,Delete .vscode directory
96a353a,wach0035,6 minutes ago,Merge pull request #18 from putl0014/Collating-the-Report
1a5d186,putl0014,9 minutes ago,Adding SIte map to Report
fe355ec,wach0035,11 minutes ago,Merge pull request #17 from putl0014/Site-Map
8d59610,putl0014,35 minutes ago,Create Site Map.png
81c881f,putl0014,36 minutes ago,Vs code stuff
ce34e52,putl0014,38 minutes ago,Update FUSSUserResearchandLowFidelityDesign.md
261ded5,putl0014,50 minutes ago,Collating the Report
daf29c1,Jayden Putland,86 minutes ago,Merge pull request #16 from putl0014/User-Personas
63752f3,Lachlan Klenk,2 hours ago,Merge pull request #9 from putl0014/Target-Audience-Profile
c089cbf,Lachlan Klenk,2 hours ago,Update pr-roster.md
5a4e1f4,Jayden Putland,2 hours ago,Merge branch 'main' into Target-Audience-Profile
73c298e,Jayden Putland,2 hours ago,Merge pull request #10 from putl0014/Scope-Statement
6a4f861,Lachlan Klenk,2 hours ago,Update pr-roster.md
483199c,Lachlan Klenk,2 hours ago,Formatting
351fd01,Jayden Putland,4 hours ago,Merge branch 'main' into Target-Audience-Profile
cf101d3,Jayden Putland,4 hours ago,Merge branch 'main' into Scope-Statement
bf469f2,wach0035,4 hours ago,Merge pull request #6 from putl0014/Website-Concept
bcfb129,Jayden Putland,4 hours ago,Merge pull request #15 from putl0014/docs/WACH0035/Storyboards
dca732a,Jayden Putland,5 hours ago,Merge pull request #14 from putl0014/User-Flow-Diagram
fd94736,Thomas Wachmer,14 hours ago,Added document showing storyboards
6edb25b,Thomas Wachmer,14 hours ago,Fix one of the storyboards
632b5f5,Thomas Wachmer,14 hours ago,Update roster
10e1fc7,Thomas Wachmer,14 hours ago,Add storyboard for deleting an account
9548aa1,Thomas Wachmer,15 hours ago,Add storyboard for receiving a request
0916881,Xplict1,15 hours ago,Reupload user flow image 1
e8c267c,Thomas Wachmer,16 hours ago,Add storyboard for adding a skill
c912962,Thomas Wachmer,17 hours ago,Add storyboard for creating a service request
a7bcfc5,Thomas Wachmer,17 hours ago,Add storyboard for changing availability
8b35045,Xplict1,21 hours ago,User flow Diagram upload
668e3d9,Jayden Putland,23 hours ago,Merge pull request #13 from putl0014/Competitor-Analysis
15890b9,main0074,23 hours ago,Update competitor analysis section
6c9c438,Jayden Putland,26 hours ago,Merge pull request #12 from putl0014/docs/WACH0035/Fix-Annotated-Wireframes
d021c09,Thomas Wachmer,26 hours ago,Fixed annotations for the wireframes
d29d8e7,Jayden Putland,27 hours ago,Merge pull request #11 from putl0014/docs/WACH0035/Wireframes
4f8866c,Thomas Wachmer,2 days ago,Update roster
5421b10,Thomas Wachmer,3 days ago,Add unannotated wireframes to /images/ subfolder
1fc30f8,Thomas Wachmer,3 days ago,Add Annotated Wireframes into /images/ subfolder
ad4e192,putl0014,4 days ago,Scope statement update
d9507f8,putl0014,5 days ago,Scope Statement version 0.1
b89a9fe,putl0014,5 days ago,Update pr-roster.md
e076855,putl0014,5 days ago,Update Project-Proposal.md
fe171fc,Lachlan Klenk,6 days ago,Merge pull request #8 from putl0014/User-Personas
13c538a,Lachlan Klenk,6 days ago,Update Diego Martinez Persona.png
d09f7db,Lachlan Klenk,6 days ago,Update persona-drafts.md
07efdcb,Lachlan Klenk,6 days ago,Merge pull request #7 from putl0014/Research-Methods
8e120c7,Lachlan Klenk,6 days ago,Created Diego Martinez Persona
a3ae652,Lachlan Klenk,6 days ago,Created Athena Werner Persona
edb9995,Lachlan Klenk,6 days ago,Added Matthew Jacob Persona
72b5257,putl0014,6 days ago,Update pr-roster.md
edc8ea9,putl0014,6 days ago,Update Project-Proposal.md
5191de6,Jayden Putland,6 days ago,Merge pull request #5 from putl0014/Research-Methods
bc6b5ac,Jayden Putland,6 days ago,Merge branch 'main' into Research-Methods
7589573,Lachlan Klenk,6 days ago,Update pr-roster.md
6d741fe,Lachlan Klenk,6 days ago,Update pr-roster.md
cfe7445,Lachlan Klenk,6 days ago,Create research-methods.md
2bae99d,putl0014,6 days ago,Pushing to main the draft files for the three sections of the Report.
a1286c2,Lachlan Klenk,6 days ago,Merge pull request #4 from putl0014/Jaydens-test
d7d568e,putl0014,13 days ago,Update pr-roster.md
159fb44,putl0014,13 days ago,Update persona-drafts.md
8f03e3e,putl0014,13 days ago,Updating the PR roster and persona draft
5f27865,putl0014,13 days ago,Update persona-drafts.md
319decb,Lachlan Klenk,13 days ago,Merge pull request #3 from putl0014/Persona-klen0010
d3913ed,Lachlan Klenk,13 days ago,Update persona-drafts.md
0f5ea80,wach0035,13 days ago,Merge pull request #2 from putl0014:docs/WACH0035/create-persona
9e9d37e,Thomas Wachmer,13 days ago,Merge remote-tracking branch 'origin/main' into docs/WACH0035/create-persona
959e2ad,Thomas Wachmer,13 days ago,Adding name to persona file # Description
e035c7f,Lachlan Klenk,13 days ago,Update persona-drafts.md
01ab3ae,Jayden Putland,13 days ago,Merge pull request #1 from putl0014/Jaydens-test
afb1f14,putl0014,13 days ago,Create test doc.md
810eb4c,main0074,13 days ago,Update persona-drafts.md
57e9a31,Lachlan Klenk,13 days ago,added FAN
1cecf23,putl0014,13 days ago,Adding details to the drafts file
b5c6b55,putl0014,13 days ago,Adding persona drafts
162046b,putl0014,13 days ago,Assignment folder setup
80c9aae,putl0014,13 days ago,Initial commit